City_name,Popul,Cri_index,tot_cri_index,Mur_mans,For_rape,Robbery,Agg_assault,Burglary,Lar_theft,Moto_theft,Arson
Suisun City,27297,702,712,1,2,20,39,158,395,87,10
Sunnyvale,129311,2655,2673,1,25,46,128,304,1944,207,18
Susanville,17677,311,315,1,6,3,30,62,205,4,4
Temecula,44920,1405,1405,0,22,22,146,389,710,116,0
Temple City,32498,537,541,2,3,30,89,152,218,43,4
Thousand Oaks,118916,1831,1849,2,10,39,105,369,1177,129,18
Torrance,139548,4611,4636,3,23,188,229,785,2636,747,25
Tracy,48341,1962,1964,1,12,27,75,248,1395,204,2
Tulare,41535,2750,2797,1,15,66,342,1003,991,332,47
Turlock,51002,2913,2971,3,19,65,207,738,1401,480,58
Tustin,65313,2263,2285,2,5,66,188,357,1411,234,22
Twenty0Nine Palms,14480,542,558,1,13,11,48,179,247,43,16
Twin Cities,11606,601,603,0,1,8,3,205,357,27,2
Ukiah,14909,755,763,1,9,21,63,196,420,45,8
Union City,65024,2594,2610,2,16,92,204,389,1562,329,16
Upland,68820,2951,2992,5,17,89,280,621,1668,271,41
Vacaville,84583,2337,2354,2,23,63,224,333,1494,198,17
Vallejo,113173,7304,7356,6,48,433,810,1323,3905,779,52
Ventura,99807,2989,3022,3,19,94,218,649,1795,211,33
Victorville,69924,3127,3137,4,19,128,164,591,1823,398,10
Visalia,90616,5004,5043,7,26,114,606,1086,2777,388,39
Vista,82094,2742,2755,1,31,113,269,609,1356,363,13
Walnut,31566,511,517,0,3,32,54,116,235,71,6
Walnut Creek,65248,2201,2208,1,3,29,90,340,1582,156,7
Watsonville,33841,1831,1838,2,8,50,279,334,1039,119,7
West Covina,100912,4265,4287,3,19,180,219,511,2643,690,22
West Hollywood,36857,1985,1993,2,11,144,176,273,1056,323,8
Westminster,85273,3575,3609,6,16,138,208,795,1812,600,34
West Sacramento,30180,1809,1830,1,15,51,479,323,651,289,21
Whittier,80294,2391,2407,1,12,101,163,350,1486,278,16
Windsor,13530,399,403,0,5,8,22,77,262,25,4
Woodland,44239,1306,1334,2,15,42,171,225,701,150,28
Yorba Linda,61037,862,870,1,5,12,52,149,594,49,8
Yuba City,33477,2094,2102,2,19,40,118,396,1283,236,8
Yucaipa,37330,842,850,0,6,32,45,218,462,79,8
Yucca Valley,19266,613,620,1,2,20,78,156,326,30,7
